HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Mallorca,Ath Bilbao,3,2,16,7,2,0,0,0,0
Alaves,Valencia,2,1,9,9,1,0,0,0,0
Levante,Betis,2,4,12,19,1,3,0,0,0
Sociedad,Granada,2,0,18,15,1,0,0,0,0
Espanol,Barcelona,2,2,10,12,1,1,0,0,0
Cadiz,Celta,0,0,8,6,0,0,0,0,0
Villarreal,Real Madrid,0,0,9,17,0,0,0,0,0
Vallecano,Osasuna,0,3,10,12,0,2,0,0,0
Ath Madrid,Getafe,4,3,11,10,3,3,0,0,0
Sevilla,Elche,2,0,14,7,0,0,0,0,0
Ath Bilbao,Espanol,2,1,7,7,2,1,0,0,0
Valencia,Sociedad,0,0,14,8,0,0,0,0,0
Barcelona,Ath Madrid,4,2,9,10,3,1,0,0,0
Betis,Villarreal,0,2,9,9,0,1,0,0,0
Real Madrid,Granada,1,0,24,7,0,0,0,0,0
Elche,Alaves,3,1,14,6,0,1,0,0,0
Mallorca,Cadiz,2,1,17,12,1,1,0,0,0
Celta,Vallecano,2,0,13,11,1,0,0,0,0
Osasuna,Sevilla,0,0,9,9,0,0,0,0,0
Getafe,Levante,3,0,14,11,2,0,0,0,0
Granada,Osasuna,0,2,6,16,0,0,0,0,0
Real Madrid,Elche,2,2,23,3,0,1,0,0,0
Sociedad,Getafe,0,0,9,9,0,0,0,0,0
Vallecano,Ath Bilbao,0,1,29,9,0,1,0,0,0
Alaves,Barcelona,0,1,6,10,0,0,0,0,0
Levante,Cadiz,0,2,15,8,0,1,0,0,0
Villarreal,Mallorca,3,0,12,8,2,0,0,0,0
Sevilla,Celta,2,2,16,6,0,2,0,0,0
Ath Madrid,Valencia,3,2,16,7,0,2,0,0,0
Espanol,Betis,1,4,12,15,1,2,0,0,0
