HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Udinese,Fiorentina,1,0,8,12,1,0,0,0,0
Juventus,Spezia,2,0,15,9,1,0,0,0,0
Napoli,Lecce,1,1,19,9,1,1,0,0,0
Sassuolo,Milan,0,0,8,10,0,0,0,0,0
Inter,Cremonese,3,1,18,11,2,0,0,0,0
Roma,Monza,3,0,14,13,2,0,0,0,0
Salernitana,Sampdoria,4,0,9,17,2,0,0,0,0
Verona,Atalanta,0,1,14,15,0,0,0,0,0
Fiorentina,Napoli,0,0,10,13,0,0,0,0,0
Lecce,Empoli,1,1,15,9,1,1,0,0,0
Cremonese,Torino,1,2,16,14,0,1,0,0,0
Juventus,Roma,1,1,14,8,1,0,0,0,0
Milan,Bologna,2,0,19,8,1,0,0,0,0
Spezia,Sassuolo,2,2,7,21,2,1,0,0,0
Monza,Udinese,1,2,10,15,1,1,0,0,0
Lazio,Inter,3,1,11,19,1,0,0,0,0
Roma,Cremonese,1,0,27,14,0,0,0,0,0
Sampdoria,Juventus,0,0,10,10,0,0,0,0,0
Empoli,Fiorentina,0,0,4,19,0,0,0,0,0
Napoli,Monza,4,0,22,4,2,0,0,0,0
Atalanta,Milan,1,1,11,18,1,0,0,0,0
Bologna,Verona,1,1,17,19,1,1,0,0,0
Torino,Lazio,0,0,10,7,0,0,0,0,0
Udinese,Salernitana,0,0,15,17,0,0,0,0,0
Inter,Spezia,3,0,19,2,1,0,0,0,0
Sassuolo,Lecce,1,0,12,7,1,0,0,0,0
Verona,Napoli,2,5,6,25,1,2,0,0,0
Juventus,Sassuolo,3,0,14,19,2,0,0,0,0
Fiorentina,Cremonese,3,2,27,13,2,1,0,0,0
Lazio,Bologna,2,1,9,11,0,1,0,0,0
Salernitana,Roma,0,1,13,20,0,1,0,0,0
Spezia,Empoli,1,0,9,18,1,0,0,0,0
Milan,Udinese,4,2,14,9,2,2,0,0,0
Sampdoria,Atalanta,0,2,11,9,0,1,0,0,0
Lecce,Inter,1,2,10,19,0,1,0,0,0
Monza,Torino,1,2,15,13,0,1,0,0,0
Spezia,Napoli,0,3,16,10,0,3,0,0,0
Inter,Sampdoria,3,0,27,9,0,0,0,0,0
Sassuolo,Milan,0,3,15,18,0,3,0,0,0
Salernitana,Udinese,0,4,25,19,0,3,0,0,0
Venezia,Cagliari,0,0,7,31,0,0,0,0,0
Genoa,Bologna,0,1,18,11,0,0,0,0,0
Atalanta,Empoli,0,1,40,7,0,0,0,0,0
Fiorentina,Juventus,2,0,13,1,1,0,0,0,0
Lazio,Verona,3,3,19,10,2,2,0,0,0
Torino,Roma,0,3,13,14,0,2,0,0,0
Sampdoria,Fiorentina,4,1,12,12,2,0,0,0,0
Juventus,Lazio,2,2,4,18,2,0,0,0,0
Bologna,Sassuolo,1,3,8,16,0,1,0,0,0
Napoli,Genoa,3,0,17,11,1,0,0,0,0
Milan,Atalanta,2,0,12,12,0,0,0,0,0
Cagliari,Inter,1,3,10,17,0,1,0,0,0
Empoli,Salernitana,1,1,16,28,1,0,0,0,0
Udinese,Spezia,2,3,17,10,1,2,0,0,0
Verona,Torino,0,1,10,11,0,1,0,0,0
Roma,Venezia,1,1,46,4,0,1,0,0,0
Fiorentina,Roma,2,0,12,6,2,0,0,0,0
Spezia,Atalanta,1,3,5,17,1,1,0,0,0
Venezia,Bologna,4,3,18,23,2,1,0,0,0
Salernitana,Cagliari,1,1,13,9,0,0,0,0,0
Verona,Milan,1,3,10,18,1,1,0,0,0
Torino,Napoli,0,1,10,11,0,0,0,0,0
Sassuolo,Udinese,1,1,15,13,1,0,0,0,0
Lazio,Sampdoria,2,0,16,9,1,0,0,0,0
Inter,Empoli,4,2,37,4,2,2,0,0,0
Genoa,Juventus,2,1,18,12,0,0,0,0,0
Salernitana,Venezia,2,1,19,10,1,0,0,0,0
Atalanta,Salernitana,1,1,20,11,0,1,0,0,0
Juventus,Venezia,2,1,17,9,1,0,0,0,0
Empoli,Torino,1,3,11,13,0,0,0,0,0
Milan,Fiorentina,1,0,13,8,0,0,0,0,0
Udinese,Inter,1,2,7,12,0,2,0,0,0
Roma,Bologna,0,0,17,10,0,0,0,0,0
Cagliari,Verona,1,2,14,13,0,2,0,0,0
Napoli,Sassuolo,6,1,18,13,4,0,0,0,0
Sampdoria,Genoa,1,0,10,14,1,0,0,0,0
Spezia,Lazio,3,4,9,22,2,1,0,0,0
Fiorentina,Udinese,0,4,18,17,0,2,0,0,0
Atalanta,Torino,4,4,16,5,2,2,0,0,0
Bologna,Inter,2,1,5,26,1,1,0,0,0
Sassuolo,Juventus,1,2,22,10,1,1,0,0,0
Salernitana,Fiorentina,2,1,10,8,1,0,0,0,0
Bologna,Udinese,2,2,10,17,1,1,0,0,0
Empoli,Napoli,3,2,17,16,0,1,0,0,0
Genoa,Cagliari,1,0,13,11,0,0,0,0,0
Lazio,Milan,1,2,7,25,1,0,0,0,0
Torino,Spezia,2,1,14,7,1,0,0,0,0
Venezia,Atalanta,1,3,8,19,0,1,0,0,0
Inter,Roma,3,1,11,9,2,0,0,0,0
Verona,Sampdoria,1,1,12,4,0,1,0,0,0
Udinese,Salernitana,0,1,11,9,0,0,0,0,0
Napoli,Roma,1,1,9,8,1,0,0,0,0
Atalanta,Verona,1,2,17,21,0,1,0,0,0
Cagliari,Sassuolo,1,0,16,8,1,0,0,0,0
Sampdoria,Salernitana,1,2,5,7,1,2,0,0,0
Udinese,Empoli,4,1,13,15,1,0,0,0,0
Fiorentina,Venezia,1,0,22,3,1,0,0,0,0
Juventus,Bologna,1,1,23,9,0,0,0,0,0
Lazio,Torino,1,1,10,12,0,0,0,0,0
Spezia,Inter,1,3,10,23,0,1,0,0,0
Milan,Genoa,2,0,10,7,1,0,0,0,0
Bologna,Sampdoria,2,0,19,9,0,0,0,0,0
Genoa,Lazio,1,4,15,17,0,2,0,0,0
Napoli,Fiorentina,2,3,15,11,0,1,0,0,0
Sassuolo,Atalanta,2,1,14,15,1,0,0,0,0
Venezia,Udinese,1,2,9,16,0,1,0,0,0
Roma,Salernitana,2,1,17,6,0,1,0,0,0
Torino,Milan,0,0,14,14,0,0,0,0,0
Empoli,Spezia,0,0,15,11,0,0,0,0,0
Inter,Verona,2,0,18,9,2,0,0,0,0
Cagliari,Juventus,1,2,4,20,1,1,0,0,0
Verona,Genoa,1,0,7,7,1,0,0,0,0
Milan,Bologna,0,0,33,8,0,0,0,0,0
Fiorentina,Empoli,1,0,24,5,0,0,0,0,0
Atalanta,Napoli,1,3,19,6,0,2,0,0,0
Udinese,Cagliari,5,1,24,6,2,1,0,0,0
Sampdoria,Roma,0,1,8,6,0,1,0,0,0
Juventus,Inter,0,1,23,5,0,1,0,0,0
Spezia,Venezia,1,0,11,13,0,0,0,0,0
Lazio,Sassuolo,2,1,14,20,1,0,0,0,0
Salernitana,Torino,0,1,14,8,0,1,0,0,0
Venezia,Sampdoria,0,2,13,8,0,2,0,0,0
Empoli,Verona,1,1,7,14,1,0,0,0,0
Juventus,Salernitana,2,0,12,12,2,0,0,0,0
Roma,Lazio,3,0,11,9,3,0,0,0,0
Bologna,Atalanta,0,1,12,15,0,0,0,0,0
Napoli,Udinese,2,1,20,10,0,1,0,0,0
Inter,Fiorentina,1,1,13,17,0,0,0,0,0
Cagliari,Milan,0,1,13,21,0,0,0,0,0
Sassuolo,Spezia,4,1,16,5,1,1,0,0,0
Genoa,Torino,1,0,7,9,1,0,0,0,0
Lazio,Venezia,1,0,10,7,0,0,0,0,0
Fiorentina,Bologna,1,0,14,4,0,0,0,0,0
Verona,Napoli,1,2,8,13,0,1,0,0,0
Atalanta,Genoa,0,0,11,13,0,0,0,0,0
Udinese,Roma,1,1,11,10,1,0,0,0,0
Torino,Inter,1,1,13,15,1,0,0,0,0
Salernitana,Sassuolo,2,2,15,20,1,2,0,0,0
Spezia,Cagliari,2,0,12,11,0,0,0,0,0
Sampdoria,Juventus,1,3,16,6,0,2,0,0,0
Milan,Empoli,1,0,15,5,1,0,0,0,0
Genoa,Empoli,0,0,18,8,0,0,0,0,0
Bologna,Torino,0,0,6,13,0,0,0,0,0
Fiorentina,Verona,1,1,8,2,1,1,0,0,0
Venezia,Sassuolo,1,4,16,16,1,3,0,0,0
Juventus,Spezia,1,0,10,9,1,0,0,0,0
