HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Rennes,Ajaccio,2,1,16,10,1,0,0,0,0
Lille,Paris SG,1,7,16,16,0,4,0,0,0
Monaco,Lens,1,4,12,14,1,2,0,0,0
Marseille,Nantes,2,1,16,12,0,0,0,0,0
Monaco,Lens,1,4,12,14,1,2,0,0,0
Marseille,Nantes,2,1,16,12,0,0,0,0,0
Lyon,Troyes,4,1,16,4,1,1,0,0,0
Lyon,Troyes,4,1,16,4,1,1,0,0,0
Ajaccio,Lens,0,0,9,12,0,0,0,0,0
Auxerre,Angers,2,2,11,11,2,1,0,0,0
Reims,Clermont,2,4,9,10,2,0,0,0,0
Troyes,Toulouse,0,3,12,10,0,1,0,0,0
Nice,Strasbourg,1,1,13,9,1,0,0,0,0
Brest,Marseille,1,1,17,5,0,1,0,0,0
Ajaccio,Lens,0,0,9,12,0,0,0,0,0
Auxerre,Angers,2,2,11,11,2,1,0,0,0
Reims,Clermont,2,4,9,10,2,0,0,0,0
Troyes,Toulouse,0,3,12,10,0,1,0,0,0
Nice,Strasbourg,1,1,13,9,1,0,0,0,0
Brest,Marseille,1,1,17,5,0,1,0,0,0
Monaco,Rennes,1,1,12,24,0,0,0,0,0
Paris SG,Montpellier,5,2,20,7,2,0,0,0,0
Monaco,Rennes,1,1,12,24,0,0,0,0,0
Paris SG,Montpellier,5,2,20,7,2,0,0,0,0
Nantes,Lille,1,1,10,16,1,0,0,0,0
Nantes,Lille,1,1,10,16,1,0,0,0,0
Toulouse,Nice,1,1,6,11,1,0,0,0,0
Angers,Nantes,0,0,16,14,0,0,0,0,0
Lens,Brest,3,2,17,6,1,0,0,0,0
Lille,Auxerre,4,1,16,10,3,0,0,0,0
Montpellier,Troyes,3,2,17,15,2,2,0,0,0
Rennes,Lorient,0,1,21,8,0,0,0,0,0
Marseille,Reims,4,1,16,16,2,0,0,0,0
Toulouse,Nice,1,1,6,11,1,0,0,0,0
Angers,Nantes,0,0,16,14,0,0,0,0,0
Lens,Brest,3,2,17,6,1,0,0,0,0
Lille,Auxerre,4,1,16,10,3,0,0,0,0
Montpellier,Troyes,3,2,17,15,2,2,0,0,0
Rennes,Lorient,0,1,21,8,0,0,0,0,0
Marseille,Reims,4,1,16,16,2,0,0,0,0
Strasbourg,Monaco,1,2,11,24,0,1,0,0,0
Clermont,Paris SG,0,5,7,18,0,3,0,0,0
Strasbourg,Monaco,1,2,11,24,0,1,0,0,0
Clermont,Paris SG,0,5,7,18,0,3,0,0,0
Lyon,Ajaccio,2,1,11,8,2,1,0,0,0
Lyon,Ajaccio,2,1,11,8,2,1,0,0,0
Angers,Montpellier,2,0,19,14,1,0,0,0,0
Brest,Bordeaux,2,4,11,15,2,2,0,0,0
Clermont,Lyon,1,2,18,21,0,1,0,0,0
Lens,Monaco,2,2,28,12,1,1,0,0,0
Lille,Rennes,2,2,13,13,1,1,0,0,0
Lorient,Troyes,1,1,17,8,0,1,0,0,0
Marseille,Strasbourg,4,0,17,10,1,0,0,0,0
Nantes,St Etienne,1,1,12,13,1,0,0,0,0
Paris SG,Metz,5,0,27,4,3,0,0,0,0
Reims,Nice,2,3,5,17,2,0,0,0,0
Bordeaux,Lorient,0,0,14,13,0,0,0,0,0
Lyon,Nantes,3,2,17,17,1,0,0,0,0
Metz,Angers,1,0,7,11,0,0,0,0,0
Monaco,Brest,4,2,25,10,1,2,0,0,0
Montpellier,Paris SG,0,4,10,15,0,3,0,0,0
Nice,Lille,1,3,16,9,1,0,0,0,0
Rennes,Marseille,2,0,12,8,2,0,0,0,0
St Etienne,Reims,1,2,16,17,1,1,0,0,0
Strasbourg,Clermont,1,0,11,11,1,0,0,0,0
Troyes,Lens,1,3,6,15,1,2,0,0,0
Nice,St Etienne,4,2,14,12,0,2,0,0,0
Nantes,Rennes,2,1,9,17,1,1,0,0,0
Metz,Lyon,3,2,15,17,2,1,0,0,0
Angers,Bordeaux,4,1,13,7,2,0,0,0,0
Clermont,Montpellier,2,1,12,10,1,1,0,0,0
Reims,Lens,1,2,7,21,1,0,0,0,0
Lorient,Marseille,0,3,7,9,0,1,0,0,0
Paris SG,Troyes,2,2,17,9,2,1,0,0,0
Brest,Strasbourg,0,1,7,14,0,0,0,0,0
Lille,Monaco,1,2,15,9,0,1,0,0,0
Troyes,Lille,3,0,9,10,1,0,0,0,0
Brest,Clermont,2,0,8,16,0,0,0,0,0
