HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
M'gladbach,RB Leipzig,3,1,9,10,2,1,0,0,0
Augsburg,FC Koln,1,4,14,18,0,2,0,0,0
Bielefeld,Hertha,1,1,6,9,0,0,0,0,0
Dortmund,Bochum,3,4,19,12,2,2,0,0,0
Mainz,Bayern Munich,3,1,24,4,2,1,0,0,0
Stuttgart,Wolfsburg,1,1,18,15,0,1,0,0,0
Hoffenheim,Freiburg,3,4,17,9,1,1,0,0,0
Union Berlin,Greuther Furth,1,1,6,7,0,1,0,0,0
Bochum,Augsburg,0,2,18,12,0,2,0,0,0
Hertha,Stuttgart,2,0,7,12,1,0,0,0,0
Ein Frankfurt,Hoffenheim,2,2,17,11,1,1,0,0,0
FC Koln,Bielefeld,3,1,19,16,2,1,0,0,0
Freiburg,M'gladbach,3,3,19,7,0,2,0,0,0
Greuther Furth,Leverkusen,1,4,9,10,1,2,0,0,0
RB Leipzig,Union Berlin,1,2,5,12,0,0,0,0,0
Bayern Munich,Dortmund,3,1,13,7,2,0,0,0,0
Wolfsburg,Mainz,5,0,15,5,5,0,0,0,0
Bielefeld,Bayern Munich,0,3,8,24,0,2,0,0,0
Hoffenheim,Greuther Furth,0,0,16,7,0,0,0,0,0
Union Berlin,Ein Frankfurt,2,0,14,10,2,0,0,0,0
Leverkusen,RB Leipzig,0,1,12,4,0,0,0,0,0
Augsburg,Hertha,0,1,13,11,0,0,0,0,0
Dortmund,Wolfsburg,6,1,12,9,5,0,0,0,0
Freiburg,Bochum,3,0,14,10,2,0,0,0,0
Mainz,Stuttgart,0,0,9,6,0,0,0,0,0
M'gladbach,FC Koln,1,3,18,17,0,3,0,0,0
Bochum,Leverkusen,0,0,11,9,0,0,0,0,0
Ein Frankfurt,Freiburg,1,2,17,12,0,1,0,0,0
RB Leipzig,Hoffenheim,3,0,11,4,3,0,0,0,0
Bayern Munich,Augsburg,1,0,13,6,0,0,0,0,0
FC Koln,Mainz,3,2,13,9,0,1,0,0,0
Greuther Furth,M'gladbach,0,2,10,18,0,2,0,0,0
Wolfsburg,Bielefeld,4,0,11,6,2,0,0,0,0
Hertha,Union Berlin,1,4,12,17,0,1,0,0,0
Stuttgart,Dortmund,0,2,13,10,0,1,0,0,0
Augsburg,Mainz,2,1,14,17,1,0,0,0,0
Augsburg,Wolfsburg,3,0,13,17,1,0,0,0,0
M'gladbach,Mainz,1,1,17,22,1,0,0,0,0
Bielefeld,Stuttgart,1,1,10,14,0,1,0,0,0
Ein Frankfurt,Greuther Furth,0,0,20,4,0,0,0,0,0
Freiburg,Bayern Munich,1,4,8,21,0,0,0,0,0
Hoffenheim,Bochum,1,2,14,20,0,1,0,0,0
Leverkusen,Hertha,2,1,18,7,2,1,0,0,0
Dortmund,RB Leipzig,1,4,10,11,0,2,0,0,0
Union Berlin,FC Koln,1,0,13,6,0,0,0,0,0
RB Leipzig,Ein Frankfurt,0,0,14,5,0,0,0,0,0
