HomeTeam,AwayTeam,HomeTeamGoals,AwayTeamGoals,HomeTeamShots,AwayTeamShots,HomeTeamHalfTimeGoals,AwayTeamHalfTimeGoals,HomeTeamFullTimeGoals,AwayTeamFullTimeGoals,PredictedLabel
Wycombe,Plymouth,2,0,13,9,2,0,0,0,0
Burton,Wigan,0,0,9,10,0,0,0,0,0
Portsmouth,Rotherham,3,0,10,9,1,0,0,0,0
AFC Wimbledon,Milton Keynes Dons,1,1,8,14,1,0,0,0,0
Bolton,Sheffield Weds,1,1,8,21,0,0,0,0,0
Burton,Plymouth,0,0,6,9,0,0,0,0,0
Cambridge,Morecambe,2,1,15,19,1,0,0,0,0
Cheltenham,Portsmouth,1,0,19,17,0,0,0,0,0
Doncaster,Crewe,2,0,19,12,1,0,0,0,0
Fleetwood Town,Accrington,1,2,11,24,1,0,0,0,0
Gillingham,Wycombe,1,1,18,13,0,1,0,0,0
Lincoln,Wigan,1,3,13,14,1,2,0,0,0
Oxford,Sunderland,1,2,20,11,1,1,0,0,0
Rotherham,Charlton,0,1,10,9,0,0,0,0,0
Shrewsbury,Ipswich,1,1,5,8,0,1,0,0,0
AFC Wimbledon,Charlton,1,1,14,8,0,0,0,0,0
Cambridge,Wycombe,1,4,9,18,0,1,0,0,0
Fleetwood Town,Lincoln,1,1,17,12,1,0,0,0,0
Milton Keynes Dons,Crewe,2,1,9,4,2,0,0,0,0
Morecambe,Oxford,2,1,6,20,2,1,0,0,0
Wigan,Accrington,3,0,14,14,2,0,0,0,0
Bolton,Portsmouth,1,1,12,12,0,0,0,0,0
Wigan,Bolton,1,1,10,5,1,0,0,0,0
Accrington,Cheltenham,4,4,21,7,2,1,0,0,0
Charlton,Lincoln,1,2,17,10,0,1,0,0,0
Crewe,Fleetwood Town,1,3,17,13,1,1,0,0,0
Ipswich,Cambridge,0,1,12,8,0,0,0,0,0
Milton Keynes Dons,Shrewsbury,2,0,10,7,1,0,0,0,0
Morecambe,Burton,3,0,22,8,2,0,0,0,0
Plymouth,Oxford,1,0,11,8,0,0,0,0,0
Sheffield Weds,AFC Wimbledon,2,1,16,7,1,1,0,0,0
Sunderland,Gillingham,1,0,25,5,0,0,0,0,0
Wycombe,Doncaster,2,0,19,17,1,0,0,0,0
Accrington,Gillingham,1,2,20,10,0,0,0,0,0
AFC Wimbledon,Cambridge,0,1,6,5,0,0,0,0,0
Doncaster,Charlton,0,1,8,14,0,0,0,0,0
Ipswich,Plymouth,1,0,18,3,1,0,0,0,0
Sheffield Weds,Cheltenham,4,1,15,8,1,1,0,0,0
Shrewsbury,Lincoln,1,0,12,6,0,0,0,0,0
Plymouth,Cheltenham,2,0,17,16,2,0,0,0,0
Cambridge,Milton Keynes Dons,0,1,11,8,0,0,0,0,0
Charlton,Burton,2,0,7,13,2,0,0,0,0
Cheltenham,AFC Wimbledon,3,1,14,11,0,1,0,0,0
Crewe,Bolton,0,1,2,16,0,0,0,0,0
Fleetwood Town,Doncaster,0,0,10,8,0,0,0,0,0
Gillingham,Sheffield Weds,0,0,10,12,0,0,0,0,0
Lincoln,Sunderland,0,0,8,16,0,0,0,0,0
Oxford,Ipswich,1,1,16,12,0,0,0,0,0
Plymouth,Accrington,4,0,16,16,2,0,0,0,0
Portsmouth,Wycombe,0,0,6,15,0,0,0,0,0
Rotherham,Shrewsbury,0,3,12,18,0,1,0,0,0
Wigan,Morecambe,4,1,20,5,2,0,0,0,0
Charlton,Gillingham,1,0,16,7,1,0,0,0,0
Crewe,Wigan,0,2,7,13,0,1,0,0,0
Plymouth,Portsmouth,1,0,20,13,0,0,0,0,0
Rotherham,Lincoln,2,1,13,10,2,0,0,0,0
Sheffield Weds,Accrington,1,1,12,7,0,0,0,0,0
Shrewsbury,Morecambe,5,0,14,8,1,0,0,0,0
Wycombe,Fleetwood Town,1,0,19,9,0,0,0,0,0
Accrington,Charlton,2,1,17,5,2,1,0,0,0
AFC Wimbledon,Lincoln,0,2,13,7,0,1,0,0,0
Bolton,Plymouth,0,1,14,9,0,1,0,0,0
Burton,Fleetwood Town,3,2,22,10,0,1,0,0,0
Doncaster,Gillingham,0,1,15,8,0,1,0,0,0
Ipswich,Portsmouth,0,0,14,6,0,0,0,0,0
Milton Keynes Dons,Wigan,1,1,5,6,0,0,0,0,0
Morecambe,Cheltenham,1,3,22,18,0,1,0,0,0
Sheffield Weds,Cambridge,6,0,23,6,4,0,0,0,0
Shrewsbury,Oxford,1,2,14,8,0,1,0,0,0
Sunderland,Crewe,2,0,14,3,0,0,0,0,0
Wycombe,Rotherham,0,0,12,12,0,0,0,0,0
Crewe,Portsmouth,1,3,17,17,0,2,0,0,0
Ipswich,Lincoln,2,0,17,4,2,0,0,0,0
Milton Keynes Dons,Cheltenham,3,1,9,9,2,0,0,0,0
Plymouth,AFC Wimbledon,2,0,9,10,1,0,0,0,0
Sunderland,Fleetwood Town,3,1,14,11,0,1,0,0,0
